,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
63,4,4,5,4,4,4,4,5,4,5,5,5,5,5,4,5,5,4,4,3,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,5,5,5,4,4,4,4,5,4,3,5,5,5,5,4,5,5,5,5,3,3,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2
65,5,5,4,5,5,5,5,4,4,3,4,4,4,4,5,4,4,5,4,4,4,3,3,3,2,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,1
66,4,4,4,5,4,4,5,5,5,3,4,5,4,4,5,4,4,5,5,5,5,4,4,3,2,2,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1
67,4,4,4,4,4,5,5,4,5,4,3,4,4,4,5,5,4,4,4,5,4,5,4,3,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1
68,5,5,5,4,4,4,5,4,5,5,4,4,4,5,4,4,5,4,5,5,4,4,5,4,3,1,1,2,1,1,1,2,2,2,1,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1
69,5,4,5,4,4,5,4,5,4,5,5,4,4,5,4,5,5,5,4,5,4,4,3,4,3,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2
70,5,5,5,5,5,5,5,4,5,5,4,4,4,5,5,4,4,5,5,4,5,4,3,5,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2
71,4,4,4,4,4,4,4,5,5,4,5,5,4,4,5,4,5,4,5,4,5,4,3,3,4,3,2,2,3,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2
72,4,4,4,4,5,5,4,4,5,5,5,4,5,4,4,4,5,5,5,5,5,4,3,3,4,3,2,3,3,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,4,4,4,4,4,5,4,5,5,5,4,5,4,4,4,4,4,5,4,5,5,4,4,3,4,3,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,4,4,5,4,5,4,5,4,3,4,4,2,2,2,2,1,3,3,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1
75,5,5,4,4,5,5,4,5,4,5,5,4,4,4,5,4,5,5,4,4,4,4,4,4,5,4,3,3,2,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
76,5,5,5,4,5,4,4,5,5,5,4,5,4,5,4,4,5,5,5,4,4,4,4,4,4,4,3,4,3,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,5,4,5,4,5,4,5,5,5,4,5,4,5,4,4,5,5,4,5,5,5,4,4,4,5,5,4,4,4,3,3,2,2,3,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1
78,5,5,5,4,4,4,4,5,5,5,4,4,5,4,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,4,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
79,4,4,4,4,5,5,5,4,4,5,4,4,4,4,5,4,5,5,5,4,5,4,4,4,5,5,5,4,4,4,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,5,4,4,5,5,4,4,5,4,5,5,4,5,5,5,5,4,5,4,4,5,5,5,4,4,4,5,4,4,5,3,4,3,3,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2
81,5,4,4,4,5,5,4,4,5,4,4,5,4,4,5,4,4,5,5,4,4,5,5,5,4,4,5,4,4,4,3,3,4,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
82,5,4,4,4,4,4,5,5,4,4,5,5,5,4,5,4,5,5,5,4,5,5,4,4,4,4,4,4,5,4,4,3,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
83,4,4,5,5,4,5,4,5,5,4,5,4,5,4,4,5,5,5,4,5,5,5,5,5,4,4,4,5,4,4,5,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
84,4,5,5,5,4,5,5,4,4,4,4,5,5,4,4,5,4,4,4,5,5,4,4,5,4,4,4,5,4,4,4,3,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
85,5,5,5,5,4,5,5,5,5,5,5,4,4,5,4,4,4,3,5,4,4,5,5,5,4,5,4,4,4,5,5,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,4,5,5,5,4,4,5,5,5,4,5,4,5,4,5,5,4,3,5,4,4,5,4,5,4,4,5,5,5,4,4,4,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,4,5,5,5,4,4,4,5,5,5,4,4,4,5,4,4,5,3,5,4,3,4,4,5,4,4,4,5,5,5,4,5,4,2,3,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1
88,4,4,4,5,4,5,5,5,4,5,5,5,4,4,5,4,5,3,5,4,4,5,4,3,5,4,4,4,4,4,5,4,4,2,4,2,3,1,1,1,1,1,1,1,1,2,2,1,1,1
89,4,4,5,4,4,4,5,4,5,4,4,5,4,5,4,4,5,3,5,4,5,4,5,3,5,4,4,3,4,4,4,4,4,2,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
90,4,5,4,5,5,4,4,5,4,5,4,4,5,5,4,5,4,4,5,5,5,5,5,4,5,5,4,4,4,4,5,5,5,3,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
91,4,5,5,5,4,5,5,4,5,4,5,5,5,4,5,5,5,5,4,4,4,4,5,5,5,4,5,4,4,5,5,5,5,3,5,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1
92,5,4,5,5,4,4,4,4,5,5,4,4,5,5,5,5,4,4,4,4,4,4,5,5,5,4,5,5,5,4,4,4,4,3,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1
93,5,4,4,5,5,4,4,4,5,4,5,4,4,5,5,5,4,4,5,5,5,5,4,4,4,4,4,5,5,5,4,4,5,4,4,3,3,2,2,2,2,3,3,1,1,1,1,1,1,1
94,5,4,5,4,5,5,4,4,4,4,4,4,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,4,4,4,4,4,5,4,4,4,4,2,2,1,1,1,1,2,1,1,1,2,1,1
95,4,5,4,5,5,5,4,4,5,5,4,4,5,4,5,4,4,5,5,4,4,4,5,5,5,5,4,4,4,5,5,4,5,5,4,5,5,2,2,1,1,1,1,2,2,1,1,1,1,1
96,4,5,4,5,5,5,4,5,5,5,4,4,4,5,5,5,5,4,4,4,5,4,4,5,4,4,4,5,4,4,5,5,4,4,5,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1
97,4,4,4,5,4,5,5,5,5,5,4,4,5,4,4,5,5,4,4,5,4,4,5,4,5,5,5,4,4,4,5,4,5,5,4,5,5,4,3,2,2,2,2,1,2,2,1,1,2,1
98,5,4,4,5,5,4,4,4,4,4,4,5,5,4,4,4,5,4,4,4,4,5,5,4,4,5,5,5,5,5,4,5,5,4,4,5,5,4,3,2,1,1,1,1,1,2,1,1,1,1
99,5,5,4,5,4,5,5,4,4,5,5,4,5,5,4,4,4,5,5,5,4,5,4,4,4,5,5,5,4,5,4,4,4,5,5,5,4,4,4,3,1,1,1,2,1,1,2,1,1,2
100,5,4,4,4,5,4,4,5,4,5,4,5,4,4,5,4,4,4,4,5,5,4,4,4,5,5,4,5,4,4,4,5,4,5,5,5,5,4,4,3,1,1,1,1,2,1,1,2,2,1
101,5,5,5,5,4,5,4,5,5,4,4,5,4,4,4,5,5,4,4,5,4,4,4,4,3,5,4,4,4,4,5,5,4,4,4,5,4,4,4,4,1,1,1,2,1,2,1,1,1,2
102,4,4,4,4,4,4,4,5,4,4,5,5,4,4,5,5,4,5,4,5,5,4,5,5,3,4,4,4,4,5,5,4,4,4,4,4,5,4,4,4,1,1,1,1,1,1,2,1,1,1
103,4,4,4,5,5,4,4,4,5,4,5,4,5,4,4,4,4,5,5,4,4,5,5,5,4,5,4,5,4,3,4,4,4,4,4,5,4,5,5,4,1,1,1,1,1,1,2,2,1,1
104,4,5,5,4,5,5,4,4,4,4,4,4,4,5,4,5,4,5,4,4,5,5,4,4,4,5,4,3,4,3,4,5,5,4,4,4,5,5,4,5,2,2,1,1,1,1,1,1,2,2
105,5,5,4,5,5,5,4,5,4,4,4,5,4,4,5,4,4,5,4,5,5,5,4,4,4,5,5,3,4,4,5,5,5,4,4,5,4,4,4,5,2,1,1,1,1,1,1,2,1,1
106,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,3,5,4,4,4,4,5,5,5,5,4,5,5,2,1,1,1,1,1,1,1,1,1
107,4,4,4,4,5,4,5,5,5,5,4,5,5,4,4,5,4,4,4,4,5,4,5,4,4,4,5,3,5,5,4,5,4,4,4,4,5,4,4,4,2,1,2,1,2,2,1,1,2,2
108,4,5,5,5,4,4,5,5,5,5,5,4,4,5,4,4,4,5,4,5,5,5,4,5,5,4,5,4,3,5,4,5,4,5,5,4,4,5,5,4,2,2,2,2,2,2,1,1,1,1
109,4,4,4,5,5,5,4,4,5,5,5,5,4,5,5,5,5,4,5,4,5,5,5,4,5,5,4,4,3,3,4,4,5,4,5,4,5,5,4,4,3,2,1,2,1,1,1,1,1,1
110,4,5,5,4,4,5,5,4,5,5,4,5,4,5,5,5,4,5,5,4,4,5,4,4,4,4,4,4,4,3,4,5,4,5,5,5,5,4,4,5,4,3,1,1,2,1,2,1,1,1
111,5,5,4,4,5,5,5,5,5,5,4,4,5,5,4,4,5,4,4,5,5,4,4,4,4,5,4,5,5,3,5,5,4,5,4,4,5,4,5,5,4,3,1,1,1,2,3,2,1,1
112,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,4,5,4,4,5,4,5,5,5,5,5,4,4,4,3,2,2,2,2,1,2,1,1
113,4,5,4,5,5,5,4,4,4,4,5,4,4,5,5,5,4,5,4,4,3,4,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,4,4,4,2,1,1,1,1,1,2,2
114,5,5,5,5,4,5,5,5,4,5,4,5,5,5,4,4,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,4,4,4,5,5,4,4,5,4,4,4,2,1,1,1,1,1,1,1
115,5,4,5,5,5,4,5,4,5,5,5,5,5,4,5,5,4,4,5,5,5,4,5,4,4,5,4,4,5,5,4,5,4,4,5,4,4,4,4,4,5,4,2,2,1,1,2,2,2,2
116,4,5,4,5,4,4,4,4,5,4,4,5,5,4,5,5,4,4,4,4,5,5,4,5,4,5,5,5,5,4,4,5,4,4,5,5,5,4,5,5,4,4,2,3,1,1,1,1,1,1
117,5,5,5,5,5,4,4,4,4,5,4,5,5,4,5,5,5,5,4,4,5,4,4,5,4,5,5,5,5,4,5,5,4,4,5,4,5,4,5,5,5,4,3,3,2,1,1,2,2,2
118,5,4,4,5,5,5,4,5,4,5,5,5,5,4,5,5,4,5,5,4,3,4,4,5,5,4,5,4,3,4,5,5,4,5,4,4,3,4,4,4,4,4,3,4,3,2,2,1,2,2
119,5,5,4,5,4,4,4,4,4,4,5,4,5,5,5,5,4,5,5,4,4,5,4,5,4,4,5,5,4,4,4,4,4,5,5,5,3,4,5,5,5,4,4,4,4,3,3,1,1,1
120,4,5,5,4,4,4,4,4,5,4,5,5,5,4,3,4,4,4,5,5,5,5,5,5,4,4,4,4,4,5,5,5,4,5,5,5,4,4,3,5,5,4,5,4,4,4,3,1,1,1
121,5,4,5,4,4,4,5,4,4,4,4,5,4,5,3,5,5,5,4,5,4,4,5,4,5,4,5,5,4,4,4,5,4,4,4,5,5,5,3,5,4,5,5,5,4,4,4,1,1,1
122,5,4,4,5,5,4,5,4,4,4,5,4,5,5,3,4,5,5,5,5,4,5,5,5,4,5,5,4,5,4,3,2,5,5,4,5,4,5,3,4,5,4,4,5,4,4,5,2,2,1
123,4,5,5,5,4,5,5,4,5,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,5,4,5,5,4,4,4,2,5,5,4,5,5,5,3,4,4,5,4,4,4,5,5,3,3,2
124,4,4,4,4,4,5,4,4,4,5,4,4,4,5,5,5,5,4,5,4,4,5,5,5,4,5,4,4,5,5,5,2,4,4,4,5,5,4,3,4,5,4,4,3,5,5,5,3,2,2
125,4,4,4,4,5,5,4,4,5,5,4,5,4,4,4,4,5,5,5,4,4,5,5,4,5,5,5,4,4,5,4,3,5,5,5,5,5,4,4,4,5,5,4,4,5,4,3,3,2,2
126,4,4,5,4,5,5,5,5,5,4,4,4,5,4,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,4,4,3,5,4,4,4,5,5,5,4,4,5,4,5,5,5,3,3,2,3
127,5,5,4,5,5,4,5,5,5,5,4,3,4,4,4,5,5,5,5,4,5,4,5,5,4,5,4,5,5,5,4,4,3,4,4,5,4,4,5,4,4,4,5,4,5,4,3,3,3,3
128,4,5,4,4,5,4,5,4,5,5,5,3,4,4,5,5,4,4,5,5,4,5,4,5,5,4,5,5,4,5,4,5,3,4,4,4,4,4,5,5,4,4,4,5,5,4,3,3,4,4
129,5,5,5,5,5,5,5,4,4,4,5,3,5,4,4,5,5,5,4,5,5,5,4,5,5,4,4,5,5,5,5,5,3,5,5,4,5,5,4,5,4,4,5,4,5,5,4,3,5,4
130,4,5,5,4,4,4,4,5,5,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,4,4,4,5,4,4,5,5,3,4,5,5,4,4,4,5,5,5,4,4,5,5,4,4,4,5
131,5,4,5,5,5,4,5,4,4,4,4,5,4,4,5,4,5,4,5,4,5,5,5,4,5,4,5,5,5,4,5,4,4,4,5,4,4,5,5,4,5,5,4,4,4,4,4,4,4,5
132,4,5,4,4,5,4,4,5,5,5,4,5,5,5,5,4,4,5,5,4,4,5,4,4,4,5,4,5,5,5,4,5,4,4,5,4,5,4,5,5,5,5,5,4,4,4,5,4,4,4
